cible,unite,modele,libelle,erreur_absolue_moyenne,ic_percentile_bas,ic_percentile_haut,ic_pivotal_bas,ic_pivotal_haut,ecart_type_bootstrap,r2_inter_groupes,r2_ic_bas,r2_ic_haut
tau,"taux de changement, points",M0,nul a derive (item seul),3.7440025806427,4.373633527755738,4.507722687721253,2.9802823066711426,3.1143717765808105,0.03439508378505707,0.0,0.0,0.0
tau,"taux de changement, points",M1,segment (groupe seul),12.009475197498821,12.12010043977821,12.317574145532234,11.701376249465408,11.898849955219433,0.04886687346368782,-7.258481646431584,-5.375087799742311,-4.9811033690681485
tau,"taux de changement, points",M2,additif item + groupe,3.3466077479880334,4.042542943179081,4.1665078221055305,2.5267076738705363,2.650672552796986,0.031230981282904,0.19723722908858599,0.12402717103274924,0.1547937904141797
tau,"taux de changement, points",M3,"P agrege (vague 1, transitions)",3.100414752960205,3.788043737411499,3.909629684686661,2.2911999225616455,2.412785768508911,0.03155770152807236,0.310771644115448,0.229143550619483,0.2498774617910385
tau,"taux de changement, points",M4,P agrege + decalage de groupe,2.7824869136164687,3.5364157776591165,3.647240930419893,1.9177328968130443,2.028558049573821,0.028812485131828623,0.4471933000048328,0.3218274905315872,0.3511438130012466
tau,"taux de changement, points",M5,oracle empirique de cellule,3.3411841497717787,4.029645028673701,4.137928020648847,2.5444402788947107,2.6527232708698563,0.026939379597440003,0.19489773900409563,0.11208230020878804,0.16060426283389126
pi,"deplacement projete sur la derive, points",M0,nul a derive (item seul),3.640319347381592,4.746959972381592,4.894316148757935,2.386322498321533,2.5336785316467285,0.03820212185382843,0.0,0.0,0.0
pi,"deplacement projete sur la derive, points",M1,segment (groupe seul),4.21072846030588,5.185673553223292,5.35326812333755,3.0681887972742103,3.2357833673884686,0.04162626391759168,-0.27322439973748586,-0.17303277418698115,-0.13269997783573295
pi,"deplacement projete sur la derive, points",M2,additif item + groupe,3.6378301569897693,4.742923846973922,4.891731686627839,2.3839286273516995,2.5327364670056163,0.03801968036168273,0.0031081206831018227,-0.0008764181141765759,0.0048702260413982295
pi,"deplacement projete sur la derive, points",M3,"P agrege (vague 1, transitions)",4.666306495666504,5.296347486972809,5.471248984336853,3.8613638877868652,4.0362653732299805,0.0435246005654335,-0.688876748085022,-0.2970593832433224,-0.20658661238849166
pi,"deplacement projete sur la derive, points",M4,P agrege + decalage de groupe,4.626774387606856,5.2602134016981275,5.432462763916125,3.821086011297587,3.9933353735155848,0.04275473380333499,-0.6704196837988524,-0.2845357508492599,-0.1971309436092227
pi,"deplacement projete sur la derive, points",M5,oracle empirique de cellule,4.529403735718427,5.436631509398564,5.591706487367595,3.4671009840692593,3.6221759620382894,0.03848394429044599,-0.5832147288854219,-0.3546859707717673,-0.30271077281477676
mu,"deplacement ordinal, points d'echelle",M0,nul a derive (item seul),0.05077803134918213,0.0654143050312996,0.06825827229768038,0.033297792077064514,0.036141760647296906,0.0007391304825432599,0.0,0.0,0.0
mu,"deplacement ordinal, points d'echelle",M1,segment (groupe seul),0.06693098529274047,0.0786459393762453,0.08199289577588613,0.05186907480959481,0.05521603120923564,0.0008523340891400994,-0.7104026124909579,-0.45999944142265364,-0.3599508091408488
mu,"deplacement ordinal, points d'echelle",M2,additif item + groupe,0.05097120255674638,0.06557342339269895,0.06838684000981894,0.033555565103673815,0.03636898172079381,0.0007285593640278875,-0.0048752903261813476,-0.007429574155978598,0.0027982566147544225
mu,"deplacement ordinal, points d'echelle",M3,"P agrege (vague 1, transitions)",0.07115361839532852,0.07851446755230426,0.08165380414575338,0.060653433203697205,0.06379277259111404,0.0007778852595947683,-0.9091323614120483,-0.470791607350111,-0.32481417357921605
mu,"deplacement ordinal, points d'echelle",M4,P agrege + decalage de groupe,0.070639148328258,0.07806368052191748,0.08117780535970975,0.06010049129680625,0.06321461613459853,0.000782442037934434,-0.8805446650546959,-0.45622848408023936,-0.3105685867750479
mu,"deplacement ordinal, points d'echelle",M5,oracle empirique de cellule,0.06103755934283631,0.0735454660247571,0.07634985701119058,0.04572526167448204,0.04852965266091552,0.0007102110874994426,-0.46591310352657694,-0.3201756358133898,-0.2196062388907562
