cible,axe,r2_permute_moyen,r2_permute_p05,r2_permute_p95,correlation_permutee_moyenne,correlation_permutee_p95,n_permutations,r2_observe,correlation_observee,p_permutation_r2,p_permutation_correlation,p_holm_correlation
mu,age,-0.50458467,-0.80444425,-0.25300884,0.005139737397756293,0.1996628547433929,1000,-0.07703774160740043,0.5476848086085611,0.002,0.0,0.0
mu,camp,-0.5090604,-0.7725018,-0.25620967,0.0007639821228100606,0.2052270182652013,1000,-0.258287799107795,0.29422250968226366,0.053,0.01,0.06
mu,education,-0.62256616,-1.0330938,-0.27123657,0.012543669771535067,0.2097338288996584,1000,-0.5496594200221816,0.15917171456535772,0.401,0.099,0.32
mu,genre,-0.3389578,-0.58507764,-0.12321454,-0.007663871778286921,0.26784882582568326,1000,-0.2348493207809456,0.23438134299989918,0.247,0.078,0.32
pi,age,-0.5261623,-0.7180813,-0.3610011,0.0064199685272639485,0.1266884993532536,1000,-0.16911311310219615,0.3831038266732447,0.0,0.0,0.0
pi,camp,-0.53227735,-0.71323854,-0.36925927,0.003907266459423079,0.12880635590174472,1000,-0.4283380455379537,0.11787600467921167,0.161,0.064,0.32
pi,education,-0.63730687,-0.88882506,-0.41010258,0.014609538672502236,0.13976880838793385,1000,-0.5726307772172303,0.06298535785648618,0.363,0.249,0.32
pi,genre,-0.36407918,-0.5367986,-0.20924191,-0.0035315467372619563,0.17891817559454576,1000,-0.26115055972204304,0.15883494502030537,0.141,0.073,0.32
tau,age,-0.522563,-0.695294,-0.36873102,0.004752793778133542,0.12333451731929757,1000,0.3727391731540542,0.7171856399411082,0.0,0.0,0.0
tau,camp,-0.5289227,-0.69274473,-0.36976242,-0.0007622169536679328,0.11725848885528234,1000,0.16594862936005736,0.6033996468559369,0.0,0.0,0.0
tau,education,-0.6548605,-0.9203693,-0.4036998,0.0009567609713636287,0.12193469716882886,1000,0.519837949023101,0.7496807394688273,0.0,0.0,0.0
tau,genre,-0.35379192,-0.5171682,-0.20835912,8.651239446572047e-05,0.17581968391673472,1000,0.11713700067759472,0.5665864786679139,0.0,0.0,0.0
