cible,axe,modele,n_cellules,r2
mu,age,M0,189.0,0.0
mu,age,M1,189.0,-1.1367145254049809
mu,age,M2,189.0,0.00912987103580971
mu,age,M3,189.0,-0.33947176933288575
mu,age,M4,189.0,-0.34767175217546054
mu,age,M5,189.0,-0.07703774160740043
mu,age x education,M0,495.8,0.0
mu,age x education,M1,495.8,-0.5529128698208232
mu,age x education,M2,495.8,-0.007100908244598703
mu,age x education,M3,495.8,-0.6466507196426392
mu,age x education,M4,495.8,-0.626446406141475
mu,age x education,M5,495.8,-0.4904415931595983
mu,age x genre,M0,378.0,0.0
mu,age x genre,M1,378.0,-0.7464876931872515
mu,age x genre,M2,378.0,0.0028188105817441578
mu,age x genre,M3,378.0,-0.4548282861709595
mu,age x genre,M4,378.0,-0.43603053920715895
mu,age x genre,M5,378.0,-0.33463409491144624
mu,camp,M0,189.0,0.0
mu,camp,M1,189.0,-1.3925266583343094
mu,camp,M2,189.0,-0.007758829324970318
mu,camp,M3,189.0,-1.6400566101074219
mu,camp,M4,189.0,-1.5969423082609173
mu,camp,M5,189.0,-0.258287799107795
mu,camp x age,M0,565.6,0.0
mu,camp x age,M1,565.6,-0.5038061402711476
mu,camp x age,M2,565.6,-0.0009047635452481106
mu,camp x age,M3,565.6,-0.5549132108688355
mu,camp x age,M4,565.6,-0.5458109756607282
mu,camp x age,M5,565.6,-0.4667246924654357
mu,camp x education,M0,438.0,0.0
mu,camp x education,M1,438.0,-0.6844261228957352
mu,camp x education,M2,438.0,-0.012480524839137131
mu,camp x education,M3,438.0,-1.5240023136138916
mu,camp x education,M4,438.0,-1.4929856741850922
mu,camp x education,M5,438.0,-0.5103942978962893
mu,camp x genre,M0,378.0,0.0
mu,camp x genre,M1,378.0,-0.8170521640495938
mu,camp x genre,M2,378.0,-0.012035637358472595
mu,camp x genre,M3,378.0,-1.2673864841461182
mu,camp x genre,M4,378.0,-1.209831777175071
mu,camp x genre,M5,378.0,-0.5074667482565569
mu,education,M0,189.0,0.0
mu,education,M1,189.0,-1.2927775508363393
mu,education,M2,189.0,-0.010528614716236362
mu,education,M3,189.0,-1.910073184967041
mu,education,M4,189.0,-1.8347639051212916
mu,education,M5,189.0,-0.5496594200221816
mu,education x genre,M0,371.4,0.0
mu,education x genre,M1,371.4,-0.7565870178516626
mu,education x genre,M2,371.4,-0.00543291575059428
mu,education x genre,M3,371.4,-1.2441613674163818
mu,education x genre,M4,371.4,-1.1859985573662288
mu,education x genre,M5,371.4,-0.6540066676891912
mu,genre,M0,126.0,0.0
mu,genre,M1,126.0,-2.034214383688768
mu,genre,M2,126.0,0.007686996248383515
mu,genre,M3,126.0,-0.6665613889694214
mu,genre,M4,126.0,-0.5783669878114106
mu,genre,M5,126.0,-0.2348493207809456
pi,age,M0,354.0,0.0
pi,age,M1,354.0,-0.43466168311121506
pi,age,M2,354.0,0.005878686742496741
pi,age,M3,354.0,-0.3807430982589722
pi,age,M4,354.0,-0.3814189484594519
pi,age,M5,354.0,-0.16911311310219615
pi,age x education,M0,918.4,0.0
pi,age x education,M1,918.4,-0.1981775415329922
pi,age x education,M2,918.4,0.01202093229206489
pi,age x education,M3,918.4,-0.5099453449249267
pi,age x education,M4,918.4,-0.48442971337551277
pi,age x education,M5,918.4,-0.5395436884455717
pi,age x genre,M0,706.0,0.0
pi,age x genre,M1,706.0,-0.2762307174344957
pi,age x genre,M2,706.0,0.0017413600164353227
pi,age x genre,M3,706.0,-0.26871213912963865
pi,age x genre,M4,706.0,-0.26176847657439495
pi,age x genre,M5,706.0,-0.4342594144608164
pi,camp,M0,354.0,0.0
pi,camp,M1,354.0,-0.5884044710099381
pi,camp,M2,354.0,-0.011286451562616229
pi,camp,M3,354.0,-1.2895526885986328
pi,camp,M4,354.0,-1.2961360277249887
pi,camp,M5,354.0,-0.4283380455379537
pi,camp x age,M0,1039.0,0.0
pi,camp x age,M1,1039.0,-0.18250568904163894
pi,camp x age,M2,1039.0,0.014947716459175031
pi,camp x age,M3,1039.0,-0.5592503309249878
pi,camp x age,M4,1039.0,-0.5593804775262518
pi,camp x age,M5,1039.0,-0.5766663175328004
pi,camp x education,M0,814.0,0.0
pi,camp x education,M1,814.0,-0.2595570588826575
pi,camp x education,M2,814.0,-0.008340556519594556
pi,camp x education,M3,814.0,-1.1765285968780517
pi,camp x education,M4,814.0,-1.151750583820118
pi,camp x education,M5,814.0,-0.754410828024182
pi,camp x genre,M0,707.0,0.0
pi,camp x genre,M1,707.0,-0.3384502259772139
pi,camp x genre,M2,707.0,-0.007758344470133904
pi,camp x genre,M3,707.0,-0.844585919380188
pi,camp x genre,M4,707.0,-0.836220849781465
pi,camp x genre,M5,707.0,-0.6018770460627326
pi,education,M0,354.0,0.0
pi,education,M1,354.0,-0.5178943480761731
pi,education,M2,354.0,-0.007504659097014565
pi,education,M3,354.0,-1.1548056125640869
pi,education,M4,354.0,-1.0840645268317872
pi,education,M5,354.0,-0.5726307772172303
pi,education x genre,M0,692.4,0.0
pi,education x genre,M1,692.4,-0.2939804263810929
pi,education x genre,M2,692.4,-0.005981015282120183
pi,education x genre,M3,692.4,-0.7867501974105835
pi,education x genre,M4,692.4,-0.7364858117200146
pi,education x genre,M5,692.4,-0.7876045857620266
pi,genre,M0,236.0,0.0
pi,genre,M1,236.0,-0.8363403496258318
pi,genre,M2,236.0,0.004264697475590928
pi,genre,M3,236.0,-0.1988302230834961
pi,genre,M4,236.0,-0.1654071213512905
pi,genre,M5,236.0,-0.26115055972204304
tau,age,M0,354.0,0.0
tau,age,M1,354.0,-13.16319310486168
tau,age,M2,354.0,0.22443934645896108
tau,age,M3,354.0,0.29748169183731077
tau,age,M4,354.0,0.4617683199694994
tau,age,M5,354.0,0.3727391731540542
tau,age x education,M0,918.4,0.0
tau,age x education,M1,918.4,-4.8744669186639475
tau,age x education,M2,918.4,0.26551916776063983
tau,age x education,M3,918.4,0.31495143175125123
tau,age x education,M4,918.4,0.49207888275828787
tau,age x education,M5,918.4,0.2527505257892452
tau,age x genre,M0,706.0,0.0
tau,age x genre,M1,706.0,-9.001881210419167
tau,age x genre,M2,706.0,0.14509374538267633
tau,age x genre,M3,706.0,0.2741244316101074
tau,age x genre,M4,706.0,0.384242014100998
tau,age x genre,M5,706.0,0.11418787059985773
tau,camp,M0,354.0,0.0
tau,camp,M1,354.0,-17.511264308835727
tau,camp,M2,354.0,0.028273404052974915
tau,camp,M3,354.0,0.32158325910568236
tau,camp,M4,354.0,0.3502464533369274
tau,camp,M5,354.0,0.16594862936005736
tau,camp x age,M0,1039.0,0.0
tau,camp x age,M1,1039.0,-6.896702991223099
tau,camp x age,M2,1039.0,0.11642589429086517
