analyse,famille_retiree,delta,strictement_negative,affaibli,condition_cellule,delta_1,c_diag_1,c_exa_1,delta_2,c_diag_2,c_exa_2,delta_3,c_diag_3,c_exa_3
principal,Absolute vs. relative,0.02593390287988891,faux,faux,vrai,0.02923350902641142,Text Persona - Gemini-Flash2.5,JSON Persona - GPT4.1,0.023189840310021748,Text Persona - Gemini-Flash2.5,JSON Persona - GPT4.1,0.025378359303233566,Text Persona - Gemini-Flash2.5,JSON Persona - GPT4.1
principal,Allais,0.027162637395041416,faux,faux,vrai,0.03291971257186893,Text Persona - Gemini-Flash2.5,JSON Persona - GPT4.1,0.023189840310021748,Text Persona - Gemini-Flash2.5,JSON Persona - GPT4.1,0.025378359303233566,Text Persona - Gemini-Flash2.5,JSON Persona - GPT4.1
principal,Anchoring African,0.026511133189677665,faux,faux,vrai,0.03127169235040961,Text Persona - Gemini-Flash2.5,JSON Persona - GPT4.1,0.023189840310021748,Text Persona - Gemini-Flash2.5,JSON Persona - GPT4.1,0.025071866908601637,Text Persona - Gemini-Flash2.5,JSON Persona - GPT4.1
principal,Anchoring redwood,0.026799602197382737,faux,faux,vrai,0.031830606978892895,Text Persona - Gemini-Flash2.5,JSON Persona - GPT4.1,0.023189840310021748,Text Persona - Gemini-Flash2.5,JSON Persona - GPT4.1,0.025378359303233566,Text Persona - Gemini-Flash2.5,JSON Persona - GPT4.1
principal,Disease,0.026955986590220343,faux,faux,vrai,0.03229976015740571,Text Persona - Gemini-Flash2.5,JSON Persona - GPT4.1,0.023189840310021748,Text Persona - Gemini-Flash2.5,JSON Persona - GPT4.1,0.025378359303233566,Text Persona - Gemini-Flash2.5,JSON Persona - GPT4.1
principal,False consensus,0.028782532362176778,faux,faux,vrai,0.03777939747327502,Text Persona - Gemini-Flash2.5,JSON Persona - GPT4.1,0.023189840310021748,Text Persona - Gemini-Flash2.5,JSON Persona - GPT4.1,0.025378359303233566,Text Persona - Gemini-Flash2.5,JSON Persona - GPT4.1
principal,Less is More + Proportion dominance,0.028274659985040824,faux,faux,vrai,0.03127169235040961,Text Persona - Gemini-Flash2.5,JSON Persona - GPT4.1,0.0281739283014793,Text Persona - Gemini-Flash2.5,JSON Persona - GPT4.1,0.025378359303233566,Text Persona - Gemini-Flash2.5,JSON Persona - GPT4.1
principal,Linda,0.028116739674059293,faux,faux,vrai,0.03127169235040961,Text Persona - Gemini-Flash2.5,JSON Persona - GPT4.1,0.0277001673685347,Text Persona - Gemini-Flash2.5,JSON Persona - GPT4.1,0.025378359303233566,Text Persona - Gemini-Flash2.5,JSON Persona - GPT4.1
principal,Myside,0.02636954511707938,faux,faux,vrai,0.03054043573798282,Text Persona - Gemini-Flash2.5,JSON Persona - GPT4.1,0.023189840310021748,Text Persona - Gemini-Flash2.5,JSON Persona - GPT4.1,0.025378359303233566,Text Persona - Gemini-Flash2.5,JSON Persona - GPT4.1
principal,Non-experimental heuristics and biases,0.029220475016351038,faux,faux,vrai,0.02548028359830906,Text Persona - Gemini-Flash2.5,JSON Persona - GPT4.1,0.02724668814894382,Text Persona - Gemini-Flash2.5,JSON Persona - GPT4.1,0.03493445330180023,Text Persona - Gemini-Flash2.5,JSON Persona - GPT4.1
principal,Outcome bias,0.02897781338333492,faux,faux,vrai,0.038365240536749445,Text Persona - Gemini-Flash2.5,JSON Persona - GPT4.1,0.023189840310021748,Text Persona - Gemini-Flash2.5,JSON Persona - GPT4.1,0.025378359303233566,Text Persona - Gemini-Flash2.5,JSON Persona - GPT4.1
principal,Probability matching,0.03030156044949267,faux,faux,vrai,0.03127169235040961,Text Persona - Gemini-Flash2.5,JSON Persona - GPT4.1,0.023189840310021748,Text Persona - Gemini-Flash2.5,JSON Persona - GPT4.1,0.036443148688046656,Text Persona - Gemini-Flash2.5,JSON Persona - GPT4.1
principal,Product Preferences - Pricing,0.005080704297533896,faux,faux,vrai,-0.002672905897052713,Text Persona (Repeating Questions) - GPT4.1-mini,Text Persona - GPT4.1-mini,0.015576842982090833,Text Persona - Gemini-Flash2.5,Text Persona - GPT4.1-mini,0.0023381758075635695,Text Persona - Gemini-Flash2.5,Text Persona (Reasoning) - GPT4.1-mini
principal,WTA/WTP Thaler,0.025595948601023672,faux,faux,vrai,0.03127169235040961,Text Persona - Gemini-Flash2.5,JSON Persona - GPT4.1,0.023189840310021748,Text Persona - Gemini-Flash2.5,JSON Persona - GPT4.1,0.022326313142639664,Text Persona - Gemini-Flash2.5,JSON Persona - GPT4.1
S1,Absolute vs. relative,0.020440720629765635,faux,faux,vrai,0.01488129343810235,JSON Persona - GPT4.1-mini,JSON Persona - GPT4.1,0.02463644179894181,Text Persona - Gemini-Flash2.5,JSON Persona - GPT4.1,0.02180442665225274,Text Persona - Gemini-Flash2.5,JSON Persona - GPT4.1
S1,Allais,0.020595299590285405,faux,faux,vrai,0.015345030319661668,JSON Persona - GPT4.1-mini,JSON Persona - GPT4.1,0.02463644179894181,Text Persona - Gemini-Flash2.5,JSON Persona - GPT4.1,0.02180442665225274,Text Persona - Gemini-Flash2.5,JSON Persona - GPT4.1
S1,Anchoring African,0.020780055571173923,faux,faux,vrai,0.01589632398217905,JSON Persona - GPT4.1-mini,JSON Persona - GPT4.1,0.02463644179894181,Text Persona - Gemini-Flash2.5,JSON Persona - GPT4.1,0.02180740093240091,Text Persona - Gemini-Flash2.5,JSON Persona - GPT4.1
S1,Anchoring redwood,0.020960527690520963,faux,faux,vrai,0.016440714620368335,JSON Persona - GPT4.1-mini,JSON Persona - GPT4.1,0.02463644179894181,Text Persona - Gemini-Flash2.5,JSON Persona - GPT4.1,0.02180442665225274,Text Persona - Gemini-Flash2.5,JSON Persona - GPT4.1
S1,Disease,0.021396953525222678,faux,faux,vrai,0.01774999212447348,JSON Persona - GPT4.1-mini,JSON Persona - GPT4.1,0.02463644179894181,Text Persona - Gemini-Flash2.5,JSON Persona - GPT4.1,0.02180442665225274,Text Persona - Gemini-Flash2.5,JSON Persona - GPT4.1
S1,False consensus,0.02373952089559452,faux,faux,vrai,0.02477769423558901,JSON Persona - GPT4.1-mini,JSON Persona - GPT4.1,0.02463644179894181,Text Persona - Gemini-Flash2.5,JSON Persona - GPT4.1,0.02180442665225274,Text Persona - Gemini-Flash2.5,JSON Persona - GPT4.1
S1,Less is More + Proportion dominance,0.02235267525556898,faux,faux,vrai,0.01589632398217905,JSON Persona - GPT4.1-mini,JSON Persona - GPT4.1,0.02935727513227515,Text Persona - Gemini-Flash2.5,JSON Persona - GPT4.1,0.02180442665225274,Text Persona - Gemini-Flash2.5,JSON Persona - GPT4.1
S1,Linda,0.022413227203620916,faux,faux,vrai,0.01589632398217905,JSON Persona - GPT4.1-mini,JSON Persona - GPT4.1,0.029538930976430955,Text Persona - Gemini-Flash2.5,JSON Persona - GPT4.1,0.02180442665225274,Text Persona - Gemini-Flash2.5,JSON Persona - GPT4.1
S1,Myside,0.02113117450996836,faux,faux,vrai,0.01695265507871052,JSON Persona - GPT4.1-mini,JSON Persona - GPT4.1,0.02463644179894181,Text Persona - Gemini-Flash2.5,JSON Persona - GPT4.1,0.02180442665225274,Text Persona - Gemini-Flash2.5,JSON Persona - GPT4.1
S1,Non-experimental heuristics and biases,0.02833980467989718,faux,faux,vrai,0.02435997786183436,Text Persona - Gemini-Flash2.5,JSON Persona - GPT4.1,0.02881761133603239,Text Persona - Gemini-Flash2.5,JSON Persona - GPT4.1,0.031841824841824795,Text Persona - Gemini-Flash2.5,JSON Persona - GPT4.1
S1,Outcome bias,0.023349324385923298,faux,faux,vrai,0.023607104706575344,JSON Persona - GPT4.1-mini,JSON Persona - GPT4.1,0.02463644179894181,Text Persona - Gemini-Flash2.5,JSON Persona - GPT4.1,0.02180442665225274,Text Persona - Gemini-Flash2.5,JSON Persona - GPT4.1
S1,Probability matching,0.0240562650642952,faux,faux,vrai,0.01589632398217905,JSON Persona - GPT4.1-mini,JSON Persona - GPT4.1,0.02463644179894181,Text Persona - Gemini-Flash2.5,JSON Persona - GPT4.1,0.03163602941176474,Text Persona - Gemini-Flash2.5,JSON Persona - GPT4.1
S1,Product Preferences - Pricing,-0.0031790080766183246,vrai,vrai,vrai,-0.003603177521008305,Text Persona (Repeating Questions) - GPT4.1-mini,Text Persona - GPT4.1-mini,0.017026623376623418,Text Persona - Gemini-Flash2.5,Text Persona - GPT4.1-mini,-0.022960470085470086,Text Persona - Gemini-Flash2.5,JSON Persona - GPT4.1-mini
S1,WTA/WTP Thaler,0.0199242210353394,faux,faux,vrai,0.01589632398217905,JSON Persona - GPT4.1-mini,JSON Persona - GPT4.1,0.02463644179894181,Text Persona - Gemini-Flash2.5,JSON Persona - GPT4.1,0.019239897324897337,Text Persona - Gemini-Flash2.5,JSON Persona - GPT4.1
