item,colonne_catalogue,qid_parent,type,selecteur,n_modalites,famille,famille_analyse,experience,bras,plan,unite,bloc_B
False Cons. self _1,QID287_1,QID287,ligne_matrice,Likert,5,False consensus,False consensus,,,intra_sujets,U01,1
False Cons. self _2,QID287_2,QID287,ligne_matrice,Likert,5,False consensus,False consensus,,,intra_sujets,U01,1
False Cons. self _3,QID287_3,QID287,ligne_matrice,Likert,5,False consensus,False consensus,,,intra_sujets,U01,1
False Cons. self _4,QID287_4,QID287,ligne_matrice,Likert,5,False consensus,False consensus,,,intra_sujets,U01,1
False Cons. self _5,QID287_5,QID287,ligne_matrice,Likert,5,False consensus,False consensus,,,intra_sujets,U01,1
False Cons. self _6,QID287_6,QID287,ligne_matrice,Likert,5,False consensus,False consensus,,,intra_sujets,U01,1
False Cons. self _7,QID287_7,QID287,ligne_matrice,Likert,5,False consensus,False consensus,,,intra_sujets,U01,1
False Cons. self _8,QID287_10,QID287,ligne_matrice,Likert,5,False consensus,False consensus,,,intra_sujets,U01,1
False Cons. self _9,QID287_11,QID287,ligne_matrice,Likert,5,False consensus,False consensus,,,intra_sujets,U01,1
False Cons. self _10,QID287_12,QID287,ligne_matrice,Likert,5,False consensus,False consensus,,,intra_sujets,U01,1
Q158,QID158,QID158,MC,SAHR,6,Disease-loss,Disease,Disease,loss,inter_sujets,U02,1
Q157,QID157,QID157,MC,SAHR,6,Disease - gain,Disease,Disease,gain,inter_sujets,U02,1
Q160_1,QID160_1,QID160,ligne_matrice,Likert,6,Linda-conjunction,Linda,Linda,conjunction,inter_sujets,U03,2
Q160_2,QID160_2,QID160,ligne_matrice,Likert,6,Linda-conjunction,Linda,Linda,conjunction,inter_sujets,U03,2
Q160_3,QID160_3,QID160,ligne_matrice,Likert,6,Linda-conjunction,Linda,Linda,conjunction,inter_sujets,U03,2
Q159_1,QID159_1,QID159,ligne_matrice,Likert,6,Linda -no conjunction,Linda,Linda,no conjunction,inter_sujets,U03,2
Q159_2,QID159_2,QID159,ligne_matrice,Likert,6,Linda -no conjunction,Linda,Linda,no conjunction,inter_sujets,U03,2
Q159_3,QID159_3,QID159,ligne_matrice,Likert,6,Linda -no conjunction,Linda,Linda,no conjunction,inter_sujets,U03,2
Q162,QID162,QID162,MC,SAVR,7,Outcome bias - failure,Outcome bias,Outcome bias,failure,inter_sujets,U04,1
Q161,QID161,QID161,MC,SAVR,7,Outcome bias - success,Outcome bias,Outcome bias,success,inter_sujets,U04,1
Q163,QID163,QID163,MC,SAVR,2,Anchoring - African countries low,Anchoring African,Anchoring African,low,inter_sujets,U05,3
Q165,QID165,QID165,MC,SAVR,2,Anchoring - African countries high,Anchoring African,Anchoring African,high,inter_sujets,U05,3
Q167,QID167,QID167,MC,SAVR,2,Anchoring - redwood low,Anchoring redwood,Anchoring redwood,low,inter_sujets,U06,1
Q169,QID169,QID169,MC,SAVR,2,Anchoring - redwood high,Anchoring redwood,Anchoring redwood,high,inter_sujets,U06,1
Q171,QID171,QID171,MC,SAHR,5,Less is More Gamble A,Less is More + Proportion dominance,Less is More + Proportion dominance,A,inter_sujets,U07,2
Q174,QID174,QID174,MC,SAHR,5,Proportion dominance 1A,Less is More + Proportion dominance,Less is More + Proportion dominance,A,inter_sujets,U07,2
Q177,QID177,QID177,MC,SAHR,6,Proportion dominance 2A,Less is More + Proportion dominance,Less is More + Proportion dominance,A,inter_sujets,U07,2
Q172,QID172,QID172,MC,SAHR,5,Less is More Gamble B,Less is More + Proportion dominance,Less is More + Proportion dominance,B,inter_sujets,U07,2
Q175,QID175,QID175,MC,SAHR,5,Proportion dominance 1B,Less is More + Proportion dominance,Less is More + Proportion dominance,B,inter_sujets,U07,2
Q178,QID178,QID178,MC,SAHR,6,Proportion dominance 2B,Less is More + Proportion dominance,Less is More + Proportion dominance,B,inter_sujets,U07,2
Q173,QID173,QID173,MC,SAHR,5,Less is More Gamble C,Less is More + Proportion dominance,Less is More + Proportion dominance,C,inter_sujets,U07,2
Q176,QID176,QID176,MC,SAHR,5,Proportion dominance 1C,Less is More + Proportion dominance,Less is More + Proportion dominance,C,inter_sujets,U07,2
Q179,QID179,QID179,MC,SAHR,6,Proportion dominance 2C,Less is More + Proportion dominance,Less is More + Proportion dominance,C,inter_sujets,U07,2
Q183,QID183,QID183,MC,SAHR,2,Absolute vs. relative - calculator,Absolute vs. relative,Absolute vs. relative,calculator,inter_sujets,U08,1
Q184,QID184,QID184,MC,SAHR,2,Absolute vs. relative - jacket,Absolute vs. relative,Absolute vs. relative,jacket,inter_sujets,U08,1
Q189,QID189,QID189,MC,SAVR,10,WTA/WTP Thaler problem - WTP certainty,WTA/WTP Thaler,WTA/WTP Thaler,WTP certainty,inter_sujets,U09,3
Q190,QID190,QID190,MC,SAVR,10,WTA/WTP Thaler problem - WTA certainty,WTA/WTP Thaler,WTA/WTP Thaler,WTA certainty,inter_sujets,U09,3
Q191,QID191,QID191,MC,SAVR,10,WTA/WTP Thaler - WTP noncertainty,WTA/WTP Thaler,WTA/WTP Thaler,WTP noncertainty,inter_sujets,U09,3
Q192,QID192,QID192,MC,SAVR,2,Allais Form 1,Allais,Allais,Form 1,inter_sujets,U10,1
Q193,QID193,QID193,MC,SAVR,2,Allais Form 2,Allais,Allais,Form 2,inter_sujets,U10,1
Q194,QID194,QID194,MC,SAHR,6,Myside Ford,Myside,Myside,Ford,inter_sujets,U11,1
Q195,QID195,QID195,MC,SAHR,6,Myside German,Myside,Myside,German,inter_sujets,U11,1
Q198_1,QID198_1,QID198,ligne_matrice,Likert,2,Probability matching vs. maximizing - Problem 1,Probability matching,Probability matching,Problem 1,inter_sujets,U12,3
Q198_2,QID198_2,QID198,ligne_matrice,Likert,2,Probability matching vs. maximizing - Problem 1,Probability matching,Probability matching,Problem 1,inter_sujets,U12,3
Q198_3,QID198_3,QID198,ligne_matrice,Likert,2,Probability matching vs. maximizing - Problem 1,Probability matching,Probability matching,Problem 1,inter_sujets,U12,3
Q198_4,QID198_4,QID198,ligne_matrice,Likert,2,Probability matching vs. maximizing - Problem 1,Probability matching,Probability matching,Problem 1,inter_sujets,U12,3
Q198_5,QID198_5,QID198,ligne_matrice,Likert,2,Probability matching vs. maximizing - Problem 1,Probability matching,Probability matching,Problem 1,inter_sujets,U12,3
